,연수명,내용,별점,등록일
1557,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼","자연 재해를 뉴스에서 자주 접해서 환경 오염에 관심이 더욱 커질 때 체계적인 지식을 접할 수 있어서 좋았다.

진행되는 방식도 재미있었고, 패널들의 지식을 통해 자연 보호를 통해 이 지구를 지켜나갈 수 있는 방안을 생각해 볼 수 있어서 좋았다. 아이들에게 정확한 지식 전달과 노력할 수 있는 방안을 강구하고 실천해 봐야 겠다.",rate5,2022.08.25
1558,핵심만 콕! 수업에 바로 쓰는 메타버스,"메타버스라는 말이 많이 들리지만 정확히 알지 못했는데, 이번 연수를 통해서 메타버스에 대한 개략적인 이해와 수업에 활용되는 예시를 이해할 수 있어서 좋았다.",rate5,2022.08.25
1559,조병영의 문해력 수업,문해력을 어떤 식으로 우리의 일상으로 끌고 올 것인지 고민하게 됨.,rate5,2022.08.24
1560,"학습격차, 차이를 넘어 함께 성장하기",학급에 여러 수준의 아이들에게 관심을 가지고 지도해야겠다,rate5,2022.08.24
1561,"학습격차, 차이를 넘어 함께 성장하기",학습이 어려운 친구들의 눈높이에 맞춤 교육을 하도록 노력해야겠어요.,rate5,2022.08.24
1562,"기초학력의 첫걸음, 한글교육",한글교육에 대한 이해를 시킬 수 있는 방법을 알 수 있어서 좋았습니다. 막연한 지도보다는 모듈을 알고 지도할 수 있겠습니다.,rate5,2022.08.24
1563,더 나은 삶을 위한 민주시민교육,학생들에게 민주시민 교육이 어려웠는데 좋은 강의로 방법에 대해 알게되었습니다.,rate5,2022.08.24
1564,놀이와 질문이 함께하는 감동의 그림책 수업,연수 제목이 정말 마음에 들어 연수 신청을 했는데 제목처럼 우리반 아이들과 그림책을 읽고 놀이와 질문이 함께 하는 감동있는 수업을 이인희 선생님처럼 해보렵니다~^^,rate5,2022.08.24
1565,정재승의 미래학교,"코로나 19, 기후변화 등의 영향으로 예상보다 빨리 우리 앞에 다가온 미래를 준비하기 위하여 우리 학생들에게 필요한 역량을 이해하여 학교에서 무엇을 어떻게 가르쳐야 할 것 인가에 대하여 알아보는 소중한 시간이었음",rate5,2022.08.23
1566,온라인-오프라인 연계 수업 따라잡기,코로나로 인해 교실 수업 모습이 정말 많이 변한 상황에서 온라인과 오프라인 수업을 제대로 이해하지 않으면 살아남을 수 없겠다는 생각에 이 연수를 선택하게 되었습니다. 2년 간의 코로나를 겪으면서 급작스럽게 배운 다양한 온라인 수업의 방법들이 머릿속에 뒤죽박죽 되어 있었는데 이 연수를 통해 잘 정리가 되었습니다. 또 잘 몰랐던 온라인 수업 방법들과 여러 가지 사이트나 앱들을 알 수 있게 되어서 유용하였습니다! 코로나가 다시 확산세에 있는데 언제 온라인으로 돌아갈 지 모르는 조마조마한 상황에서 이 연수를 잘 들었다고 생각합니다! 추천합니다~~~,rate5,2022.08.23
1567,서준호 선생님의 놀이 끝판왕 100,"학급경영 및 수업에 활용하기 좋은 실용적인 놀이들이 많습니다.
책만 읽었을 때는 와닿지 않았는데, 연수를 들으니 더욱 도움이 됩니다.
교실 및 강당, 운동장에서 다양하게 아이들과 함께하며 래포를 쌓는데 아주 유용할 것 같습니다.
좋은 연수 감사드립니다.",rate5,2022.08.23
1568,정재승의 미래학교,"비단 학생 교육면에서 뿐만 아니라, 교사 개인의 미래를 위해서 꼭 한번 들어보면 좋을것 같습니다.",rate5,2022.08.23
1569,참쌤의 비주얼씽킹 끝판왕,비주얼씽킹 교재를 보며 연수를 들으면 더욱 도움이 됩니다.,rate5,2022.08.23
1570,설민석의 한국사능력검정시험[심화],"연수를 신청하기 전에 후기를 많이 읽어보았기에 연수를 마치고 몇자 적습니다.

설샘의 한국사 연수를 들으며 내가 많이 무지했다는 것을 깨달았습니다. 올 여름은 너무 덥기도 하고 코로나19로 외출이 자유롭지 못했기 때문에 집에서 60시간 연수를 듣기로 결정했습니다.

예전에 큰별샘 연수를 들은적이 있기 때문에 기억을 살려 설샘의 한국사 연수를 열심히 들었습니다. 설샘의 한국사 연수는 우선 너무 재미가 있어서 60시간이 길다고 느껴지지 않았습니다. 연수를 중반쯤 들으니까 의미없이 연수를 듣지 말고 한국사검정시험을 봐야겠다는 의지가 생겼고 그래서 메모를 열심히 하고 역사적 사실로 찾아가며 즐겁게 연수를 들었습니다.

연수 시험보다 일주일 전에 한국사능력검정시험을 보았는데 그렇게나 많은 사람들이 어떠한 이유를 가지고 시험장에 왔는지 놀랍기도 했고 응시자 연령대가 다양해서 더 놀라왔습니다. 저도 나이가 적지 않은데 저보다 연배가 높으신 분도 많아서 나이탓을 하지 말아야겠다는 생각도 들었습니다.

연수 시험은 누군가의 후기처럼 조선, 근대, 현대에서 비중있게 나왔고 난이도도 무난하게 나왔던거 같습니다. 상대평가이다보니 어느 한 부분만 공부해서 될 것이 아니기 때문에 전체적으로 꼼꼼하게 공부하는게 고득점을 위해서는 좋을 듯 합니다. 저는 교재를 다 읽고 강의를 듣고 교재를 다시 보고 중요한 부분의 강의는 다시 반복해서 들었습니다.

감사하게도 한국사검정시험도 1급을 땄고, 연수에서도 좋은 성적을 얻었습니다.

설민석샘의 한국사 연수는 우선 꼼꼼하게 구성되어 있고 재미가 있으니 지겹지 않습니다. (강의할 때 설민석샘의 얼마나 피곤해 보이던지 쉬라고 말해주고 싶을때도 많았습니다. ) 역사적 사실은 원인과 결과가 있기 때문에 단편적으로 사실을 암기하기 보다 원인을 알려주시니까 결과를 이해하게 되고 기억에 오래 남았습니다. 아이들에게 지도할때도 원인을 알려주면 결과에 대해 짐작하게 해야겠다는 생각이 들었습니다.

두서없이 생각나는대로 적었습니다. 이 글을 읽는 선생님께서도 설민석 한국사능력검정시험(심화) 연수를 듣고 많은 배우시고 좋은 결과까지 얻어가길 바랍니다. 화이팅하세요!!",rate5,2022.08.23
1571,"기초학력의 첫걸음, 한글교육","초등학교 1학년 한굴 교육 전 꼭 필요한 연수로 생각됩니다. 한글 교육에 필요한 마음가짐, 한글의 특징을 알고 배우는 사람 입장을 생각하게 하여 도움이 많이 되었습니다.",rate5,2022.08.23
1572,"기초학력의 첫걸음, 한글교육",한글교육을 체계적으로 지도하는 방법을 알 수 있었어요 추천합니다~,rate5,2022.08.22
1573,조병영의 문해력 수업,"문해력 수업에 대해 깊이 있게 생각할 수 있게 해준 연수입니다.
중요한 것을 알지만 그냥 지나치곤 했던 많은 점들을 짚어주고 접근 방법을 알려줘서 좋았습니다.
특히, 가르치기 위한 평가에 대한 내용과 글을 읽고 할 수 있는 구체적인 질문 예시가 도움이 많이 되었습니다.
시간될 때 꼼꼼히 다시 들어보고 싶은 연수입니다.",rate5,2022.08.22
1574,핵심만 콕! 수업에 바로 쓰는 메타버스,"메타버스가 무엇인지 알지도 못하였는데 연수를 통해 메타버스가 무엇인지, 메타버스를 어떻게 교육현장에 접목할 수 있는지 알수 있게 되었어요~ 하지만 메타버스 맵을 자유자재로 사용할 수 있으려면 많은 연구와 공부를 해야해요~ 실습을 자꾸 해보고, 학생들에게 어떻게 메타버스 세계로 들어오게 해야할 지 많은 연구를 해야해요~",rate5,2022.08.22
1575,"기초학력의 첫걸음, 한글교육",감사합니다.,rate5,2022.08.22
1576,뚝딱뚝딱 온앤오프 수업자료 만들기,특히 연수 후반에 모바일에서 사용할 수 있는 동영상 편집 프로그램에 대한 교육내용이 좋았습니다.,rate5,2022.08.22
1577,핵심만 콕! 수업에 바로 쓰는 메타버스,"학교 현장에서 메타버스 관련 교육이 어떻게 이루어지고 있는지, 어느 정도 제 능력선에서 활용해 볼 수 있는지 알 수 있었습니다.",rate4,2022.08.22
1578,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,"교실 속 직업놀이를 접하고 연수와 책을 바로 결제해버렸습니다 !
아이들과 즐겁게 학교 생활을 할 수 있을 것 같다는 생각이 들어서였습니다.

바로 실행하기 까지는 조금 막막했지만, 연수를 통해 직업 놀이에 대해 자세하고 체계적인 방법을 알았습니다.
또 교사로서 여러 전략들을 알고 행해야 하는데, 세세한 부분까지 짚어주신 점이 좋았습니다.
연수 진행 방식도 두 분의 대화를 통해 들으니 지루하지 않고 좋았습니다.

추천 !! 합니다",rate5,2022.08.22
1579,허쌤의 짬짬이 교실놀이,"2학기 시작을 맞아, 아이디어를 얻으려 신청했는데 매우 유용했습니다.
다른 분들도 꼭 들어보세요^^",rate5,2022.08.22
1580,추억 소환! 종이접기 리턴즈,"강사분의 이야기를 나도 따라가기 어려운 부분들이 있었다.
생각보다 난이도가 있는 편이어서 저학년 학생들과 재미있게 하려고 했던 목적에서는
조금 부합하지 않은 연수일 수 있을 것 같다.
15강 중에 몇 가지는 아이들과 수업에서 적용해볼 수 있지만,
손재주가 없는 나도 바로 따라하기 어려운 부분이 있어서 난이도 조절을 위해
몇개의 강의를 변경시키면 좋을 것 같다.",rate4,2022.08.22
1581,"질문하는 공부법, 하브루타로 생각하고 실행하기","몇 년 전 학교에서 김진자 선생님의 하브루타 연수를 듣고 기억에 남아 이번에 60시간 연수를 신청해서 듣게 되었습니다. 오프라인 연수에서 들었던 내용이 많이 나와 반갑기도 하고 오랜만에 연수 내용도 되새기면서 들었네요. 현재 과학 전담을 맡고 있는데 2학기 과학 수업에서 유용하게 사용할 수 있을 것 같아요. 1학기에는 실험계획, 과정 모두 제가 제시해서 수업을 운영했는데 2학기에는 실험 계획, 변인 통제 등 실험을 설계하고 결론을 도출하는 과정을 하브루타로 해보려고 합니다. 시행착오가 있겠지만 훨씬 유의미한 수업이 되리라 기대해봅니다.
연수를 꼼꼼히 들으면 출석 시험도 수월하게 푸실 수 있으니 점수가 필요하신 분에게도 강력 추천하는 연수입니다.",rate5,2022.08.22
1582,설민석의 한국사능력검정시험[심화],"여름방학에 야심차게 신청한 연수! 한국사에 관심이 많고 좋아해서 신청했지만 방대한 학습량과 난이도에 힘도 들었던 연수입니다. 어려운 부분은 설민석 선생님의 재치와 자세한 설명으로 이해에 도움이 많이 되었습니다~
고학년을 담임하는 분들은 역사의 맥락을 잘 파악할 수 있어서 사회과 지도에 많은 도움이 될 것 같습니다~
출석 시험이 있는 연수이다 보니 시험에 도움이 되시라고 써 봅니다.
시험 부담도 많았는데 워낙 내용이 많다보니 한판 정리된 부분에 부연 설명을 간략히 메모해 가며 들었습니다. 공부하다 이해가 안 된 부분은 교재내용을 다시 읽어 보고요.. 시험은 아주 어렵지는 않았지만 수업을 집중해서 들어야 하며, 이해와 암기가 병행되기 때문에 반복 학습하는 것이 좋을 것 같습니다. 교재의 사료 부분을 읽어서 역사적 사건과 연계하는 문제가 많으니 교재의 사료를 잘 읽어보시기 바랍니다. 조선 후기 이후부터가 더 많이 출제 되었습니다.
이제 여름방학이 거의 다 가고 있지만 뭔가 큰 일을 해 낸 것 처럼 알차고, 보람있는 연수였습니다~!!",rate5,2022.08.22
1583,조병영의 문해력 수업,"요즘 아이들에게 꼭 필요한 수업을 할 수 있는 역량을 키워주는 강의였습니다.
문해력에 대한 전반적인 특징을 이해하고 어떤 자세로 학생을 지도, 평가, 안내 해야하는지에 대한 아이디어를 얻을 수 있었습니다.",rate5,2022.08.22
1584,조병영의 문해력 수업,문해력은 모든 교과 학습에 영향를 미치게 된다는 알게 된 연수였다.,rate5,2022.08.22
1585,핵심만 콕! 수업에 바로 쓰는 메타버스,이런것도 있구나 하는 것을 알았습니다.,rate4,2022.08.21
1586,"4R'S로 키우는 힘, 기초학력교육","기초학력지도를 위한 학습부진 선별 진단 및 지도 방법 등이 구체적으로 제시됨.
기존의 읽기, 쓰기, 셈하기만이 아닌 긍정적 관계형성 방법을 제시하여 학습부진아 지도에 실질적인 도움이 됨.
학습부진지도와 관련된 도움이 되는 사이트에 대한 안내가 잘 이루어짐.",rate5,2022.08.21
1587,조병영의 문해력 수업,다양한 관점과 시대에 필요한 문해력을 이해하는데 큰 도움이 되었다.,rate5,2022.08.21
1588,조병영의 문해력 수업,"교실에 가면 아이들은 늘 지쳐 있습니다. 수업을 하면 의욕을 가지고 참여하는 학생들도 많지 않고, 단어를 모르거나 독해력이 발달하지 못해서 수업 자체를 이해하지 못하는 학생들도 굉장히 많습니다. 그래도 그 학생들을 포기할 수는 없기에, 교사는 매일 남몰래 속앓이를 하는 직업이라고 생각합니다. 저도 많이 고민하고 좌절했었지요. 그런데 조병영 교수님의 문해력 수업은 그런 학생들도 교사가 새롭게 접근하면 다 끌고 갈 수 있다고 말합니다. 조병영 교수님의 책 '읽는 인간 리터러시를 경험하라'를 정독하면 더 깊이있는 해결책을 얻을 수 있겠지만, 일단 이 연수만으로도 아이들에게 어떻게 다가가야 하는지 감을 잡을 수 있을 듯합니다. 정말 강추합니다! 세특 때문에 시간이 부족해서 허겁지겁 들었는데, 저도 이제부터 천천히 다시 복습하려고 합니다. 꼭 들어 보세요! 오늘 수업시간에 엎어져서 잠만 자던 아이, 책을 잘 못 읽어서 힘들어 하는 아이, 기본 단어도 잘 몰라서 수업을 못 따라오는 아이들을 새롭게 보시게 될 거예요!",rate5,2022.08.21
